Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No info,4804
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,7531
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,8h 40m,1 stop,No info,11789
GoAir,6/04/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,5135
Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,5769
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 28 Jun,13h 30m,2 stops,In-flight meal not included,11150
Air India,03/03/2019,Banglore,New Delhi,BLR → HYD → DEL,08:15,12:15,4h,1 stop,No info,6273
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,09:00 16 Mar,16h 5m,1 stop,In-flight meal not included,11087
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,18:50,11h 20m,1 stop,No info,15411
IndiGo,15/06/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,3850
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 10 May,19h 5m,1 stop,In-flight meal not included,12373
Air India,18/03/2019,Banglore,New Delhi,BLR → BOM → IDR → DEL,06:45,11:10 16 Mar,28h 25m,2 stops,No info,11234
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,No info,14781
Air Asia,18/06/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,3807
Air India,21/03/2019,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9h 30m,1 stop,No info,5704
Jet Airways,1/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 02 Jun,21h 40m,2 stops,In-flight meal not included,10919
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,04:40 10 May,20h 15m,1 stop,In-flight meal not included,8586
Jet Airways,3/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 04 Jun,22h,2 stops,No info,13376
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,18:15 10 Jun,21h 5m,1 stop,No info,14571
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,09:20 19 May,24h 55m,1 stop,No info,14388
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,No info,16079
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BDQ → DEL,05:50,12:20,6h 30m,1 stop,In-flight meal not included,6163
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,8016
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,No info,14781
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 25 Mar,21h 25m,1 stop,No info,14231
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,12373
Air Asia,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,5192
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,01:30 28 May,7h 15m,1 stop,In-flight meal not included,7308
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 13 May,12h 10m,1 stop,No info,14388
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,19:50 19 May,23h 50m,1 stop,In-flight meal not included,10844
SpiceJet,12/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,3597
Jet Airways,27/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 28 Jun,27h,2 stops,No info,13292
Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,09:55,18:45,8h 50m,1 stop,No info,16092
Air India,24/05/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145
Air India,15/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,08:55 16 May,23h 5m,2 stops,No info,14960
Air India,01/03/2019,Banglore,New Delhi,BLR → GAU → DEL,13:50,18:40 02 Mar,28h 50m,1 stop,No info,17198
GoAir,12/06/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,3419
Jet Airways,24/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 25 Jun,21h 40m,2 stops,No info,13376
GoAir,9/06/2019,Delhi,Cochin,DEL → HYD → COK,05:55,13:35,7h 40m,1 stop,No info,5199
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,No info,14781
Jet Airways,3/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,04:25 05 Mar,47h,2 stops,No info,20064
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,16108
IndiGo,24/03/2019,Kolkata,Banglore,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,5618
SpiceJet,1/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2437
IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,6144
Vistara,27/06/2019,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,non-stop,No info,6216
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,In-flight meal not included,12384
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,In-flight meal not included,10844
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:15,7h 45m,1 stop,No info,16108
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,11h 45m,1 stop,No info,6838
Air Asia,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,19:25,11h 50m,1 stop,No info,5192
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,07:40 19 Mar,13h,1 stop,In-flight meal not included,7832
SpiceJet,3/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3971
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 07 May,16h 45m,1 stop,In-flight meal not included,8066
IndiGo,27/03/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,3384
IndiGo,27/06/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 28 Jun,2h 40m,non-stop,No info,4804
Jet Airways,27/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,11:45,04:25 28 Jun,16h 40m,2 stops,No info,13882
Vistara,12/05/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,12:25,5h 25m,1 stop,In-flight meal not included,9134
Air India,15/05/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 16 May,26h,2 stops,No info,13022
Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,8541
Air Asia,6/06/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 07 Jun,2h 50m,non-stop,No info,7120
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,5694
SpiceJet,3/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543
IndiGo,18/05/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6496
SpiceJet,3/04/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2017
IndiGo,6/06/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,4804
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 19 May,12h 30m,1 stop,No info,9385
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,19:00 25 Jun,23h 45m,1 stop,In-flight meal not included,10262
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 07 Jun,10h 55m,1 stop,In-flight meal not included,10262
Vistara,3/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,5944
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,13727
IndiGo,12/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540
Jet Airways,24/03/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,In-flight meal not included,2071
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,12192
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5224
IndiGo,15/04/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4174
Jet Airways,27/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,In-flight meal not included,6007
Air India,1/04/2019,Kolkata,Banglore,CCU → DEL → BLR,17:30,12:00 02 Apr,18h 30m,1 stop,No info,7893
Vistara,24/06/2019,Chennai,Kolkata,MAA → CCU,07:45,10:00,2h 15m,non-stop,No info,3687
IndiGo,12/06/2019,Delhi,Cochin,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,6496
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,12:00 25 Mar,27h 35m,1 stop,No info,13759
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,07:40 07 Mar,10h 15m,1 stop,No info,16736
SpiceJet,15/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 16 Apr,2h 55m,non-stop,No check-in baggage included,3919
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 16 May,8h,1 stop,No info,6979
Air India,21/05/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4145
Vistara,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,13h 10m,1 stop,No info,8610
IndiGo,6/05/2019,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No info,4226
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 19 May,19h 55m,2 stops,No info,15129
SpiceJet,21/06/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841
Air India,15/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,07:40 16 May,26h 40m,2 stops,No info,11281
Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,20:35,13h 50m,1 stop,No info,12127
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 22 May,22h 35m,1 stop,In-flight meal not included,12898
IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6412
Jet Airways,1/04/2019,Delhi,Cochin,DEL → BOM → COK,18:15,12:35 02 Apr,18h 20m,1 stop,In-flight meal not included,5406
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,17:25,01:35 10 Mar,8h 10m,1 stop,In-flight meal not included,12616
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9h 20m,1 stop,No info,7005
Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,15:50,17:20,1h 30m,non-stop,In-flight meal not included,2071
Air India,3/03/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Mar,20h 55m,1 stop,No info,16142
Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,8016
Air India,21/05/2019,Kolkata,Banglore,CCU → BOM → GOI → BLR,16:50,05:35 22 May,12h 45m,2 stops,No info,12324
Air India,03/03/2019,Banglore,New Delhi,BLR → BOM → IDR → DEL,08:50,11:10 07 Mar,26h 20m,2 stops,No info,12599
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,13727
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,18:25,11h 25m,1 stop,No info,26890
Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,5176
IndiGo,9/04/2019,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,14h 20m,1 stop,No info,6093
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,15h,1 stop,No info,8475
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,12:25,6h 40m,1 stop,In-flight meal not included,9134
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1 stop,No info,14571
IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,4823
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,6860
SpiceJet,9/04/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4319
GoAir,27/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,10188
Air India,03/03/2019,Banglore,New Delhi,BLR → BOM → IDR → DEL,06:45,11:10 07 Mar,28h 25m,2 stops,No info,12599
Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,10:45 10 Jun,14h 25m,1 stop,No info,9397
SpiceJet,12/06/2019,Kolkata,Banglore,CCU → IXB → BLR,15:55,21:25,5h 30m,1 stop,No info,8224
IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,4392
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,No info,14571
IndiGo,27/03/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:20,6h 10m,1 stop,No info,6412
SpiceJet,24/05/2019,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:30,7h 15m,1 stop,No info,9630
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,18:00 10 Jun,21h 35m,1 stop,No info,13401
Air India,24/06/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,19:15 25 Jun,38h,3 stops,No info,10493
Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 16 Jun,26h 55m,2 stops,No info,13014
Vistara,9/03/2019,Delhi,Cochin,DEL → COK,14:55,17:50,2h 55m,non-stop,No info,6741
IndiGo,9/03/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:35,1h 25m,non-stop,No info,7417
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,20:45,6h 40m,1 stop,In-flight meal not included,10844
Jet Airways,21/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,18:50 22 Mar,23h 40m,2 stops,No info,9483
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 25 Jun,16h 50m,1 stop,In-flight meal not included,10262
SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3332
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 13 Jun,18h 45m,2 stops,No info,13014
Air India,21/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 22 Mar,23h 30m,2 stops,No info,8236
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,09:45 13 Jun,13h 20m,1 stop,In-flight meal not included,10539
